Country_Name,Country_Code,Total_Fertility_rate ,Female_Labour Force_Participation_Rate,Unemployment_Rate,Literacy_Rate,Life_Expectancy 
Afghanistan,AFG,4.523,5.342,26.7,22.6,66
Albania,ALB,1.376,63.446,11.4,98.30000305,79
Algeria,DZA,2.829,18.049,21.7,75.3,78
Argentina,ARG,1.876,58.9,7.66,99.1,79
Armenia,ARM,1.575,68.552,6.1,99.7,78
Australia,AUS,1.63,75.299,3.672,..,85
Austria,AUT,1.41,74.674,4.798,..,84
Azerbaijan,AZE,1.67,74.64,6.54,99.7,76
"Bahamas, The",BHS,1.38,71.816,9.9,..,78
Bahrain,BHR,1.797,46.275,4.2,96.11010742,80
Bangladesh,BGD,1.95,39.544,4.894,72,76
Belarus,BLR,1.495,76.34,2.905,99.9,78
Belgium,BEL,1.53,67.814,5.257,..,84
Bhutan,BTN,1.398,67.809,7.941,63.90000153,74
Bolivia,BOL,2.584,60.805,4.158,94,68
Cambodia,KHM,2.322,73.862,0.3,79.65000153,73
Cameroon,CMR,4.383,67.836,4.2,73.1,63
Canada,CAN,1.33,76.788,5.138,..,84
Central African Republic,CAF,5.918,63.762,7.2,26.2,57
Chile,CHL,1.539,58.229,8.809,97.12000275,82
China,CHN,1.175,70.909,4.3,95.2,81
Colombia,COL,1.692,56.349,13.197,99.13,77
Croatia,HRV,1.53,65.371,7.904,99.1,81
Cuba,CUB,1.449,51.124,1.3,99.7,81
Denmark,DNK,1.55,77.976,4.493,..,83
Djibouti,DJI,2.757,19.266,36.3,..,63
"Egypt, Arab Rep.",EGY,2.878,17.493,18.516,68.94999695,73
Finland,FIN,1.32,78.909,6.368,99.7,84
France,FRA,1.794,71.757,7.138,..,85
Georgia,GEO,2.063,60.866,10.2,99.5390625,76
Germany,DEU,1.455,76.173,2.798,100,83
Ghana,GHA,3.507,67.138,3.389,74.5,66
Greece,GRC,1.43,61.199,16.397,97.4,83
Greenland,GRL,1.839,..,..,..,73
Guinea,GIN,4.303,43.612,5.4,31.3,60
"Hong Kong SAR, China",HKG,0.701,65.919,3.523,..,87
